pm2.5,pm10,o3,no2,so2,co
181.0,85.0,7.0,11.0,1.0,6.0
145.0,119.0,10.0,14.0,4.0,12.0
149.0,111.0,14.0,12.0,4.0,10.0
161.0,133.0,13.0,14.0,4.0,10.0
155.0,142.0,16.0,18.0,4.0,12.0
159.0,126.0,18.0,17.0,4.0,9.0
138.0,148.0,18.0,18.0,4.0,11.0
142.0,118.0,15.0,16.0,4.0,10.0
187.0,125.0,13.0,16.0,4.0,10.0
200.0,174.0,11.0,13.0,3.0,11.0
179.0,172.0,11.0,18.0,3.0,11.0
188.0,227.0,17.0,23.0,3.0,10.0
211.0,255.0,10.0,29.0,4.0,19.0
203.0,235.0,16.0,29.0,5.0,17.0
218.0,210.0,17.0,23.0,5.0,13.0
263.0,222.0,20.0,27.0,4.0,9.0
316.0,248.0,19.0,47.0,4.0,7.0
238.0,385.0,14.0,67.0,5.0,12.0
254.0,223.0,16.0,71.0,4.0,7.0
284.0,231.0,10.0,75.0,4.0,9.0
175.0,352.0,20.0,72.0,4.0,10.0
160.0,258.0,9.0,59.0,4.0,25.0
163.0,121.0,15.0,19.0,1.0,5.0
161.0,146.0,6.0,15.0,2.0,5.0
177.0,143.0,12.0,13.0,6.0,6.0
198.0,189.0,2.0,15.0,5.0,6.0
196.0,224.0,4.0,17.0,7.0,13.0
169.0,133.0,3.0,12.0,4.0,6.0
326.0,127.0,2.0,13.0,4.0,8.0
338.0,280.0,2.0,18.0,4.0,8.0
386.0,402.0,8.0,25.0,7.0,5.0
258.0,480.0,5.0,27.0,7.0,7.0
360.0,282.0,10.0,21.0,6.0,8.0
270.0,357.0,15.0,22.0,5.0,18.0
328.0,256.0,5.0,19.0,4.0,6.0
341.0,322.0,6.0,19.0,5.0,6.0
301.0,343.0,9.0,21.0,4.0,6.0
265.0,320.0,11.0,20.0,4.0,8.0
272.0,228.0,4.0,20.0,3.0,6.0
300.0,261.0,11.0,22.0,3.0,9.0
296.0,275.0,3.0,22.0,3.0,9.0
298.0,297.0,7.0,24.0,4.0,10.0
350.0,278.0,10.0,23.0,3.0,6.0
277.0,347.0,7.0,26.0,3.0,8.0
395.0,245.0,7.0,24.0,6.0,9.0
426.0,410.0,8.0,27.0,6.0,12.0
259.0,484.0,7.0,30.0,4.0,12.0
274.0,221.0,7.0,22.0,3.0,10.0
227.0,270.0,7.0,22.0,3.0,9.0
209.0,205.0,4.0,19.0,2.0,9.0
326.0,171.0,4.0,21.0,2.0,6.0
269.0,360.0,4.0,26.0,5.0,9.0
254.0,230.0,8.0,25.0,3.0,9.0
251.0,225.0,4.0,23.0,3.0,8.0
319.0,219.0,1.0,20.0,3.0,8.0
277.0,309.0,1.0,20.0,6.0,9.0
257.0,216.0,1.0,30.0,6.0,16.0
247.0,216.0,5.0,28.0,5.0,10.0
337.0,291.0,4.0,35.0,3.0,9.0
402.0,295.0,8.0,36.0,2.0,9.0
277.0,442.0,10.0,41.0,3.0,11.0
379.0,216.0,1.0,26.0,2.0,12.0
322.0,322.0,18.0,73.0,3.0,17.0
384.0,321.0,17.0,75.0,4.0,19.0
450.0,398.0,15.0,81.0,7.0,27.0
411.0,558.0,16.0,86.0,6.0,30.0
312.0,497.0,10.0,85.0,5.0,36.0
224.0,349.0,10.0,80.0,6.0,27.0
203.0,217.0,6.0,76.0,7.0,26.0
230.0,190.0,17.0,70.0,5.0,25.0
291.0,203.0,15.0,80.0,4.0,22.0
323.0,328.0,25.0,95.0,7.0,31.0
261.0,495.0,17.0,98.0,13.0,36.0
244.0,370.0,17.0,74.0,10.0,28.0
345.0,282.0,12.0,41.0,5.0,20.0
361.0,425.0,5.0,44.0,2.0,24.0
262.0,253.0,2.0,43.0,2.0,19.0
215.0,297.0,1.0,43.0,2.0,15.0
206.0,196.0,21.0,40.0,2.0,12.0
241.0,181.0,9.0,37.0,2.0,11.0
239.0,220.0,11.0,41.0,3.0,12.0
229.0,217.0,11.0,38.0,2.0,12.0
289.0,184.0,9.0,36.0,3.0,14.0
380.0,223.0,11.0,11.0,2.0,12.0
287.0,405.0,18.0,6.0,2.0,12.0
227.0,239.0,13.0,5.0,2.0,12.0
359.0,146.0,6.0,5.0,2.0,11.0
434.0,419.0,11.0,7.0,5.0,19.0
428.0,547.0,23.0,10.0,6.0,19.0
456.0,515.0,18.0,8.0,5.0,16.0
364.0,576.0,21.0,10.0,5.0,26.0
321.0,403.0,22.0,9.0,6.0,27.0
330.0,266.0,20.0,6.0,7.0,17.0
305.0,290.0,13.0,6.0,6.0,10.0
266.0,299.0,22.0,7.0,3.0,31.0
270.0,250.0,23.0,7.0,6.0,27.0
335.0,291.0,22.0,7.0,4.0,20.0
423.0,354.0,17.0,7.0,3.0,33.0
357.0,472.0,22.0,8.0,7.0,24.0
290.0,326.0,17.0,6.0,7.0,18.0
362.0,286.0,16.0,7.0,5.0,23.0
217.0,329.0,18.0,5.0,7.0,16.0
189.0,137.0,15.0,5.0,6.0,8.0
235.0,125.0,9.0,13.0,5.0,9.0
448.0,211.0,4.0,14.0,4.0,16.0
333.0,573.0,12.0,24.0,7.0,40.0
367.0,417.0,16.0,61.0,10.0,35.0
394.0,488.0,23.0,79.0,5.0,35.0
470.0,492.0,25.0,41.0,7.0,42.0
432.0,569.0,13.0,38.0,5.0,37.0
410.0,553.0,14.0,38.0,6.0,34.0
405.0,543.0,12.0,40.0,8.0,33.0
285.0,506.0,16.0,36.0,14.0,23.0
309.0,339.0,28.0,37.0,11.0,19.0
306.0,398.0,15.0,29.0,8.0,14.0
286.0,387.0,26.0,18.0,9.0,12.0
266.0,390.0,24.0,18.0,9.0,22.0
211.0,382.0,26.0,16.0,9.0,19.0
186.0,221.0,28.0,15.0,9.0,13.0
202.0,168.0,22.0,13.0,7.0,8.0
176.0,170.0,18.0,13.0,7.0,9.0
260.0,153.0,18.0,14.0,7.0,11.0
262.0,226.0,14.0,10.0,7.0,10.0
245.0,266.0,16.0,13.0,7.0,10.0
189.0,225.0,23.0,13.0,8.0,6.0
140.0,143.0,19.0,11.0,6.0,7.0
138.0,100.0,17.0,9.0,6.0,7.0
113.0,105.0,10.0,8.0,6.0,4.0
150.0,86.0,7.0,8.0,5.0,9.0
187.0,155.0,12.0,9.0,3.0,5.0
177.0,216.0,10.0,11.0,3.0,8.0
244.0,266.0,13.0,28.0,0.0,12.0
229.0,282.0,21.0,74.0,0.0,9.0
160.0,198.0,18.0,64.0,1.0,10.0
158.0,142.0,13.0,49.0,2.0,6.0
156.0,158.0,9.0,70.0,0.0,4.0
161.0,153.0,6.0,49.0,1.0,8.0
175.0,183.0,6.0,50.0,1.0,11.0
176.0,211.0,8.0,37.0,1.0,5.0
169.0,201.0,22.0,28.0,0.0,7.0
154.0,165.0,24.0,28.0,0.0,7.0
153.0,147.0,15.0,21.0,0.0,6.0
145.0,148.0,19.0,24.0,0.0,4.0
156.0,137.0,13.0,18.0,0.0,3.0
149.0,127.0,12.0,17.0,0.0,2.0
138.0,119.0,7.0,15.0,0.0,2.0
162.0,118.0,5.0,13.0,1.0,2.0
159.0,128.0,5.0,16.0,2.0,2.0
160.0,111.0,10.0,16.0,2.0,3.0
144.0,133.0,6.0,21.0,1.0,8.0
145.0,113.0,5.0,14.0,1.0,6.0
117.0,101.0,5.0,13.0,1.0,2.0
114.0,102.0,5.0,16.0,1.0,15.0
93.0,96.0,5.0,15.0,1.0,2.0
82.0,102.0,5.0,10.0,1.0,4.0
116.0,110.0,5.0,8.0,2.0,4.0
111.0,113.0,4.0,8.0,2.0,4.0
116.0,92.0,4.0,13.0,1.0,6.0
160.0,94.0,4.0,12.0,1.0,6.0
155.0,130.0,5.0,11.0,1.0,5.0
128.0,125.0,5.0,8.0,1.0,7.0
113.0,124.0,4.0,8.0,1.0,4.0
157.0,78.0,5.0,4.0,1.0,12.0
48.0,34.0,4.0,0.0,1.0,12.0
117.0,44.0,4.0,1.0,1.0,12.0
115.0,89.0,8.0,2.0,2.0,9.0
117.0,93.0,13.0,3.0,2.0,12.0
119.0,97.0,8.0,3.0,2.0,12.0
120.0,93.0,8.0,2.0,2.0,13.0
118.0,103.0,6.0,2.0,2.0,12.0
125.0,116.0,6.0,2.0,1.0,11.0
125.0,109.0,5.0,2.0,2.0,11.0
138.0,109.0,4.0,2.0,1.0,12.0
137.0,111.0,6.0,1.0,1.0,12.0
127.0,111.0,6.0,2.0,1.0,11.0
136.0,120.0,4.0,2.0,1.0,11.0
152.0,134.0,3.0,2.0,1.0,10.0
138.0,156.0,3.0,3.0,1.0,13.0
116.0,139.0,2.0,2.0,2.0,6.0
107.0,119.0,2.0,2.0,1.0,14.0
115.0,114.0,3.0,2.0,1.0,13.0
140.0,70.0,2.0,1.0,1.0,17.0
150.0,143.0,6.0,1.0,1.0,14.0
130.0,138.0,3.0,1.0,1.0,15.0
119.0,137.0,2.0,1.0,1.0,12.0
138.0,118.0,2.0,1.0,1.0,12.0
136.0,107.0,2.0,2.0,1.0,11.0
121.0,208.0,2.0,1.0,1.0,12.0
119.0,125.0,2.0,1.0,1.0,10.0
120.0,137.0,3.0,0.0,1.0,10.0
124.0,125.0,2.0,1.0,1.0,13.0
128.0,177.0,3.0,1.0,1.0,14.0
146.0,136.0,6.0,6.0,1.0,12.0
97.0,115.0,5.0,4.0,2.0,12.0
101.0,95.0,5.0,6.0,2.0,10.0
109.0,88.0,5.0,3.0,1.0,9.0
139.0,87.0,7.0,11.0,2.0,13.0
143.0,71.0,10.0,5.0,1.0,13.0
96.0,95.0,5.0,4.0,1.0,14.0
103.0,87.0,5.0,4.0,1.0,10.0
135.0,93.0,5.0,4.0,1.0,12.0
84.0,96.0,6.0,5.0,1.0,13.0
73.0,76.0,5.0,5.0,1.0,13.0
126.0,56.0,5.0,5.0,1.0,14.0
135.0,83.0,16.0,6.0,1.0,12.0
83.0,170.0,14.0,9.0,1.0,14.0
164.0,81.0,11.0,6.0,1.0,13.0
184.0,593.0,6.0,6.0,1.0,15.0
114.0,90.0,34.0,6.0,1.0,13.0
111.0,70.0,12.0,6.0,1.0,12.0
133.0,77.0,9.0,5.0,1.0,12.0
113.0,78.0,12.0,0.0,1.0,11.0
101.0,63.0,26.0,0.0,1.0,10.0
90.0,63.0,6.0,0.0,1.0,11.0
93.0,37.0,7.0,0.0,1.0,11.0
116.0,34.0,5.0,0.0,1.0,10.0
119.0,51.0,16.0,0.0,1.0,12.0
104.0,127.0,17.0,0.0,1.0,12.0
112.0,104.0,10.0,0.0,1.0,11.0
141.0,76.0,8.0,0.0,1.0,12.0
139.0,153.0,6.0,1.0,1.0,12.0
104.0,125.0,8.0,1.0,2.0,13.0
89.0,76.0,6.0,0.0,1.0,13.0
116.0,91.0,17.0,1.0,1.0,11.0
128.0,117.0,6.0,0.0,1.0,12.0
111.0,165.0,11.0,1.0,1.0,13.0
184.0,126.0,6.0,0.0,1.0,12.0
95.0,89.0,26.0,7.0,1.0,17.0
164.0,39.0,9.0,5.0,1.0,12.0
138.0,117.0,8.0,8.0,1.0,10.0
122.0,95.0,9.0,6.0,1.0,10.0
123.0,79.0,6.0,7.0,2.0,13.0
122.0,81.0,6.0,6.0,2.0,12.0
83.0,76.0,8.0,6.0,1.0,11.0
100.0,55.0,7.0,5.0,1.0,12.0
128.0,70.0,2.0,5.0,2.0,11.0
117.0,94.0,6.0,7.0,3.0,10.0
107.0,104.0,4.0,9.0,3.0,11.0
119.0,111.0,5.0,9.0,2.0,11.0
135.0,164.0,7.0,7.0,2.0,10.0
127.0,176.0,5.0,9.0,2.0,10.0
104.0,129.0,5.0,10.0,2.0,11.0
113.0,108.0,8.0,10.0,2.0,11.0
122.0,128.0,9.0,12.0,3.0,11.0
134.0,130.0,8.0,13.0,3.0,10.0
213.0,122.0,29.0,18.0,3.0,9.0
134.0,568.0,8.0,23.0,3.0,14.0
148.0,198.0,35.0,12.0,2.0,8.0
177.0,116.0,24.0,14.0,2.0,12.0
126.0,135.0,22.0,14.0,3.0,10.0
108.0,97.0,26.0,15.0,2.0,11.0
143.0,85.0,27.0,11.0,2.0,9.0
115.0,94.0,5.0,13.0,1.0,7.0
126.0,65.0,6.0,7.0,1.0,9.0
110.0,78.0,20.0,8.0,2.0,9.0
157.0,121.0,6.0,9.0,2.0,9.0
86.0,126.0,8.0,12.0,2.0,9.0
94.0,83.0,12.0,10.0,1.0,7.0
74.0,53.0,16.0,12.0,2.0,11.0
89.0,95.0,19.0,8.0,2.0,6.0
130.0,125.0,8.0,7.0,2.0,8.0
145.0,241.0,18.0,11.0,4.0,6.0
165.0,180.0,20.0,13.0,3.0,3.0
148.0,226.0,36.0,21.0,3.0,18.0
145.0,143.0,30.0,17.0,3.0,17.0
110.0,112.0,29.0,13.0,3.0,13.0
180.0,96.0,24.0,10.0,2.0,12.0
188.0,280.0,22.0,16.0,4.0,13.0
111.0,496.0,20.0,11.0,2.0,12.0
181.0,133.0,29.0,13.0,3.0,14.0
182.0,213.0,35.0,19.0,3.0,18.0
175.0,214.0,39.0,26.0,4.0,20.0
243.0,219.0,36.0,25.0,3.0,18.0
167.0,258.0,37.0,24.0,5.0,20.0
191.0,137.0,35.0,18.0,4.0,15.0
136.0,170.0,29.0,17.0,3.0,17.0
163.0,111.0,16.0,14.0,2.0,15.0
196.0,148.0,27.0,15.0,3.0,14.0
181.0,169.0,13.0,18.0,3.0,16.0
165.0,146.0,23.0,18.0,2.0,18.0
138.0,88.0,30.0,12.0,1.0,7.0
127.0,75.0,11.0,9.0,1.0,3.0
129.0,74.0,7.0,8.0,1.0,13.0
136.0,58.0,6.0,8.0,2.0,10.0
162.0,89.0,20.0,11.0,2.0,4.0
159.0,166.0,20.0,14.0,3.0,7.0
142.0,155.0,29.0,20.0,3.0,7.0
169.0,180.0,27.0,14.0,2.0,11.0
136.0,168.0,31.0,21.0,3.0,16.0
148.0,115.0,24.0,14.0,3.0,11.0
86.0,135.0,20.0,16.0,4.0,10.0
114.0,99.0,14.0,11.0,2.0,7.0
121.0,107.0,22.0,12.0,2.0,7.0
113.0,119.0,14.0,12.0,2.0,8.0
139.0,104.0,12.0,11.0,3.0,11.0
161.0,236.0,20.0,12.0,3.0,6.0
155.0,204.0,13.0,21.0,5.0,19.0
162.0,234.0,22.0,26.0,5.0,14.0
201.0,216.0,21.0,31.0,5.0,14.0
193.0,294.0,26.0,31.0,7.0,17.0
171.0,245.0,20.0,27.0,7.0,13.0
155.0,196.0,17.0,24.0,6.0,12.0
243.0,173.0,16.0,23.0,5.0,4.0
176.0,346.0,19.0,30.0,13.0,11.0
200.0,285.0,23.0,28.0,6.0,11.0
141.0,330.0,23.0,25.0,5.0,11.0
118.0,144.0,21.0,23.0,4.0,8.0
108.0,126.0,16.0,20.0,4.0,4.0
130.0,161.0,14.0,19.0,2.0,5.0
113.0,144.0,13.0,19.0,3.0,7.0
160.0,114.0,13.0,15.0,2.0,6.0
158.0,163.0,12.0,17.0,3.0,10.0
141.0,139.0,12.0,21.0,2.0,10.0
147.0,63.0,12.0,16.0,1.0,5.0
179.0,117.0,24.0,17.0,3.0,7.0
150.0,142.0,27.0,22.0,3.0,7.0
135.0,137.0,15.0,20.0,3.0,4.0
144.0,106.0,13.0,14.0,2.0,3.0
112.0,134.0,12.0,15.0,2.0,6.0
188.0,91.0,12.0,15.0,2.0,9.0
167.0,142.0,10.0,21.0,3.0,18.0
140.0,136.0,14.0,18.0,3.0,11.0
171.0,63.0,18.0,8.0,1.0,2.0
173.0,141.0,7.0,10.0,2.0,6.0
162.0,125.0,31.0,16.0,3.0,8.0
176.0,99.0,21.0,9.0,2.0,8.0
218.0,166.0,31.0,14.0,3.0,8.0
175.0,230.0,32.0,16.0,4.0,4.0
191.0,174.0,30.0,17.0,3.0,9.0
183.0,172.0,26.0,14.0,3.0,6.0
182.0,202.0,28.0,16.0,2.0,8.0
182.0,192.0,30.0,15.0,3.0,10.0
187.0,155.0,34.0,15.0,3.0,7.0
137.0,162.0,28.0,13.0,3.0,7.0
195.0,92.0,31.0,9.0,2.0,5.0
204.0,136.0,36.0,9.0,3.0,12.0
147.0,157.0,24.0,17.0,5.0,6.0
138.0,113.0,26.0,12.0,2.0,7.0
140.0,103.0,22.0,10.0,2.0,4.0
138.0,128.0,11.0,13.0,3.0,7.0
175.0,130.0,17.0,11.0,2.0,2.0
153.0,186.0,22.0,15.0,2.0,6.0
169.0,187.0,21.0,13.0,2.0,9.0
188.0,174.0,26.0,15.0,2.0,7.0
213.0,205.0,26.0,17.0,3.0,9.0
196.0,218.0,27.0,19.0,2.0,6.0
161.0,205.0,29.0,19.0,3.0,10.0
158.0,143.0,28.0,16.0,2.0,7.0
227.0,139.0,21.0,13.0,1.0,6.0
204.0,201.0,23.0,14.0,2.0,10.0
233.0,193.0,29.0,16.0,2.0,4.0
295.0,284.0,15.0,18.0,2.0,16.0
342.0,355.0,32.0,20.0,3.0,15.0
241.0,375.0,25.0,23.0,3.0,17.0
169.0,245.0,23.0,21.0,3.0,17.0
138.0,135.0,27.0,14.0,3.0,7.0
122.0,113.0,26.0,14.0,3.0,7.0
134.0,132.0,20.0,9.0,2.0,3.0
230.0,117.0,17.0,10.0,2.0,3.0
178.0,212.0,9.0,17.0,2.0,8.0
178.0,161.0,15.0,16.0,2.0,8.0
167.0,170.0,19.0,20.0,2.0,9.0
212.0,122.0,13.0,15.0,2.0,16.0
264.0,208.0,9.0,15.0,2.0,16.0
192.0,309.0,15.0,20.0,3.0,23.0
212.0,176.0,15.0,15.0,2.0,9.0
185.0,223.0,3.0,19.0,4.0,13.0
171.0,163.0,2.0,16.0,2.0,10.0
170.0,129.0,18.0,12.0,1.0,4.0
183.0,107.0,7.0,9.0,1.0,4.0
213.0,125.0,6.0,13.0,1.0,4.0
187.0,131.0,8.0,9.0,1.0,4.0
187.0,128.0,6.0,13.0,1.0,5.0
247.0,150.0,10.0,12.0,1.0,2.0
342.0,253.0,20.0,17.0,2.0,8.0
283.0,319.0,20.0,20.0,1.0,6.0
171.0,268.0,19.0,19.0,2.0,8.0
285.0,137.0,18.0,12.0,2.0,3.0
280.0,308.0,26.0,24.0,4.0,4.0
217.0,309.0,26.0,19.0,2.0,6.0
201.0,194.0,12.0,17.0,2.0,10.0
163.0,167.0,15.0,17.0,2.0,9.0
225.0,125.0,14.0,12.0,1.0,6.0
316.0,162.0,8.0,9.0,1.0,7.0
297.0,291.0,9.0,13.0,2.0,15.0
277.0,262.0,11.0,13.0,2.0,15.0
291.0,289.0,13.0,14.0,1.0,14.0
417.0,261.0,5.0,13.0,1.0,13.0
312.0,427.0,6.0,17.0,2.0,23.0
286.0,280.0,8.0,16.0,2.0,17.0
341.0,311.0,8.0,14.0,8.0,12.0
261.0,371.0,9.0,15.0,2.0,14.0
249.0,216.0,7.0,12.0,3.0,13.0
328.0,181.0,10.0,10.0,1.0,11.0
323.0,279.0,10.0,12.0,4.0,11.0
256.0,186.0,18.0,14.0,2.0,16.0
360.0,207.0,10.0,12.0,1.0,8.0
316.0,379.0,15.0,20.0,2.0,30.0
238.0,381.0,18.0,28.0,3.0,38.0
286.0,178.0,16.0,18.0,1.0,24.0
278.0,239.0,11.0,14.0,2.0,23.0
254.0,227.0,4.0,13.0,1.0,26.0
243.0,192.0,8.0,12.0,1.0,24.0
279.0,186.0,8.0,15.0,1.0,23.0
340.0,243.0,9.0,15.0,1.0,26.0
215.0,257.0,4.0,14.0,1.0,25.0
268.0,226.0,4.0,14.0,1.0,25.0
351.0,227.0,7.0,18.0,1.0,26.0
317.0,364.0,9.0,21.0,1.0,28.0
235.0,331.0,7.0,20.0,2.0,31.0
188.0,225.0,7.0,19.0,2.0,24.0
170.0,160.0,11.0,19.0,2.0,27.0
163.0,133.0,9.0,17.0,1.0,22.0
146.0,129.0,7.0,15.0,1.0,22.0
164.0,117.0,6.0,14.0,1.0,21.0
201.0,129.0,5.0,16.0,1.0,23.0
293.0,170.0,4.0,16.0,1.0,19.0
229.0,339.0,6.0,22.0,2.0,30.0
201.0,245.0,9.0,21.0,2.0,30.0
196.0,178.0,8.0,18.0,2.0,28.0
241.0,147.0,8.0,14.0,1.0,24.0
242.0,202.0,9.0,18.0,1.0,23.0
358.0,225.0,8.0,21.0,2.0,26.0
331.0,403.0,10.0,25.0,2.0,18.0
290.0,340.0,12.0,29.0,2.0,37.0
309.0,322.0,13.0,27.0,2.0,32.0
307.0,330.0,12.0,25.0,2.0,31.0
337.0,351.0,12.0,25.0,2.0,34.0
289.0,397.0,16.0,27.0,3.0,41.0
244.0,298.0,18.0,25.0,3.0,35.0
238.0,204.0,18.0,23.0,2.0,29.0
244.0,216.0,18.0,23.0,3.0,25.0
186.0,266.0,17.0,25.0,3.0,27.0
176.0,170.0,17.0,18.0,2.0,28.0
182.0,149.0,16.0,17.0,3.0,22.0
206.0,152.0,15.0,16.0,2.0,24.0
243.0,154.0,16.0,17.0,2.0,25.0
186.0,200.0,16.0,21.0,2.0,24.0
241.0,182.0,19.0,22.0,3.0,28.0
212.0,177.0,17.0,16.0,2.0,23.0
203.0,150.0,14.0,15.0,2.0,23.0
172.0,141.0,8.0,16.0,2.0,22.0
219.0,126.0,17.0,18.0,2.0,25.0
232.0,174.0,21.0,18.0,2.0,22.0
259.0,169.0,20.0,17.0,3.0,26.0
294.0,192.0,15.0,16.0,2.0,23.0
238.0,226.0,13.0,14.0,2.0,22.0
189.0,189.0,15.0,18.0,2.0,20.0
339.0,144.0,23.0,16.0,2.0,28.0
293.0,246.0,11.0,12.0,1.0,19.0
245.0,236.0,16.0,17.0,2.0,24.0
283.0,196.0,23.0,13.0,2.0,26.0
432.0,236.0,16.0,14.0,1.0,23.0
506.0,496.0,20.0,26.0,3.0,31.0
320.0,548.0,19.0,21.0,2.0,31.0
380.0,354.0,14.0,20.0,2.0,18.0
374.0,485.0,27.0,25.0,3.0,24.0
313.0,472.0,19.0,22.0,3.0,32.0
348.0,372.0,16.0,19.0,3.0,24.0
325.0,420.0,19.0,18.0,3.0,22.0
301.0,376.0,24.0,22.0,3.0,14.0
219.0,327.0,19.0,18.0,3.0,25.0
241.0,207.0,27.0,16.0,2.0,13.0
216.0,243.0,23.0,14.0,4.0,8.0
203.0,183.0,26.0,14.0,3.0,7.0
211.0,194.0,30.0,19.0,2.0,6.0
206.0,227.0,18.0,18.0,2.0,10.0
183.0,248.0,21.0,22.0,2.0,14.0
213.0,267.0,24.0,22.0,2.0,20.0
187.0,315.0,3.0,19.0,3.0,1.0
187.0,261.0,22.0,20.0,3.0,0.0
185.0,214.0,27.0,18.0,2.0,0.0
170.0,174.0,28.0,16.0,2.0,1.0
160.0,152.0,21.0,15.0,1.0,0.0
64.0,93.0,12.0,10.0,1.0,0.0
68.0,17.0,3.0,3.0,1.0,18.0
63.0,36.0,18.0,4.0,2.0,13.0
65.0,52.0,3.0,3.0,2.0,10.0
177.0,73.0,5.0,3.0,2.0,6.0
153.0,145.0,9.0,10.0,2.0,10.0
118.0,136.0,8.0,12.0,2.0,37.0
169.0,122.0,6.0,9.0,2.0,0.0
152.0,129.0,6.0,11.0,1.0,0.0
121.0,119.0,3.0,10.0,1.0,0.0
137.0,98.0,3.0,7.0,1.0,2.0
79.0,106.0,18.0,8.0,2.0,2.0
100.0,51.0,3.0,7.0,1.0,5.0
82.0,39.0,3.0,7.0,1.0,4.0
80.0,27.0,6.0,5.0,1.0,6.0
124.0,43.0,2.0,5.0,1.0,1.0
136.0,79.0,5.0,9.0,1.0,1.0
163.0,103.0,8.0,9.0,2.0,4.0
125.0,108.0,4.0,10.0,1.0,2.0
113.0,73.0,7.0,8.0,2.0,1.0
46.0,87.0,3.0,7.0,2.0,1.0
26.0,21.0,2.0,5.0,1.0,1.0
76.0,15.0,2.0,4.0,1.0,1.0
84.0,80.0,3.0,5.0,2.0,3.0
83.0,73.0,4.0,6.0,2.0,4.0
101.0,76.0,3.0,4.0,2.0,5.0
142.0,75.0,6.0,5.0,2.0,1.0
149.0,86.0,2.0,5.0,2.0,4.0
144.0,97.0,3.0,6.0,2.0,3.0
115.0,101.0,4.0,7.0,2.0,3.0
95.0,84.0,3.0,7.0,2.0,3.0
177.0,77.0,2.0,5.0,3.0,9.0
123.0,86.0,2.0,5.0,2.0,9.0
128.0,93.0,2.0,10.0,2.0,8.0
132.0,89.0,3.0,7.0,2.0,9.0
143.0,94.0,2.0,7.0,2.0,9.0
113.0,121.0,5.0,12.0,2.0,9.0
105.0,100.0,3.0,6.0,2.0,9.0
95.0,98.0,2.0,6.0,2.0,8.0
111.0,81.0,2.0,5.0,2.0,8.0
111.0,80.0,2.0,7.0,2.0,8.0
83.0,84.0,4.0,9.0,2.0,9.0
101.0,66.0,2.0,5.0,2.0,8.0
134.0,89.0,2.0,3.0,1.0,8.0
102.0,86.0,3.0,1.0,1.0,9.0
65.0,71.0,2.0,1.0,2.0,9.0
93.0,58.0,2.0,0.0,2.0,8.0
44.0,79.0,2.0,1.0,2.0,9.0
64.0,40.0,2.0,0.0,1.0,9.0
61.0,61.0,2.0,0.0,1.0,8.0
154.0,44.0,2.0,0.0,2.0,9.0
